date,net_asset_value
2021-09-29,18275861.00
2021-09-30,18389861.00
2021-10-08,18499301.00
2021-10-11,18813029.00
2021-10-12,18857147.00
2021-10-13,19528721.00
2021-10-14,19313261.00
2021-10-15,19381319.00
2021-10-18,18047861.00
2021-10-19,18186713.00
2021-10-20,18515261.00
2021-10-21,18549461.00
2021-10-22,19199261.00
2021-10-25,18880403.00
2021-10-26,18743831.00
2021-10-27,18264461.00
2021-10-28,18338447.00
2021-10-29,18345173.00
2021-11-01,18345173.00
2021-11-02,18345173.00
2021-11-03,18345173.00
2021-11-04,18345173.00
2021-11-05,18345173.00
2021-11-08,18345173.00
2021-11-09,18345173.00
2021-11-10,18345173.00
2021-11-11,18345173.00
2021-11-12,18345173.00
2021-11-15,18345173.00
2021-11-16,18345173.00
2021-11-17,18345173.00
2021-11-18,18345173.00
2021-11-19,18345173.00
2021-11-22,18345173.00
2021-11-23,18817365.00
2021-11-24,19316549.00
2021-11-25,19484885.00
2021-11-26,19316661.00
2021-11-29,19809349.00
2021-11-30,19201973.00
2021-12-01,19226837.00
2021-12-02,19238149.00
2021-12-03,19662405.00
2021-12-06,19611109.00
2021-12-07,19483093.00
2021-12-08,20458949.00
2021-12-09,20946709.00
2021-12-10,20985349.00
2021-12-13,21301189.00
2021-12-14,21657349.00
2021-12-15,21489349.00
2021-12-16,21310037.00
2021-12-17,20545189.00
2021-12-20,20637701.00
2021-12-21,20405189.00
2021-12-22,20514949.00
2021-12-23,21321349.00
2021-12-24,22151157.00
2021-12-27,21453733.00
2021-12-28,21524965.00
2021-12-29,20436549.00
2021-12-30,20817349.00
2021-12-31,20537349.00
2022-01-04,20551125.00
2022-01-05,20551125.00
2022-01-06,20551125.00
2022-01-07,20551125.00
2022-01-10,20551125.00
2022-01-11,20551125.00
2022-01-12,20551125.00
2022-01-13,20551125.00
2022-01-14,20551125.00
2022-01-17,20551125.00
2022-01-18,20551125.00
2022-01-19,20551125.00
2022-01-20,20551125.00
2022-01-21,20551125.00
2022-01-24,20551125.00
2022-01-25,20551125.00
2022-01-26,20551125.00
2022-01-27,20551125.00
2022-01-28,19638525.00
2022-02-07,19638525.00
2022-02-08,19638525.00
2022-02-09,19638525.00
2022-02-10,19638525.00
2022-02-11,19638525.00
2022-02-14,19638525.00
2022-02-15,19638525.00
2022-02-16,19638525.00
2022-02-17,19638525.00
2022-02-18,19638525.00
2022-02-21,19638525.00
2022-02-22,19638525.00
2022-02-23,19638525.00
2022-02-24,19638525.00
2022-02-25,19638525.00
2022-02-28,19638525.00
2022-03-01,19638525.00
2022-03-02,19638525.00
2022-03-03,19638525.00
2022-03-04,19638525.00
2022-03-07,19638525.00
2022-03-08,19638525.00
2022-03-09,19638525.00
2022-03-10,19638525.00
2022-03-11,19638525.00
2022-03-14,19638525.00
2022-03-15,19638525.00
2022-03-16,19638525.00
2022-03-17,19638525.00
2022-03-18,19638525.00
2022-03-21,19638525.00
2022-03-22,19638525.00
2022-03-23,19638525.00
2022-03-24,19638525.00
2022-03-25,19638525.00
2022-03-28,19638525.00
2022-03-29,19638525.00
2022-03-30,19638525.00
2022-03-31,19638525.00
2022-04-01,19638525.00
2022-04-06,19638525.00
2022-04-07,19638525.00
2022-04-08,19879825.00
2022-04-11,19067025.00
2022-04-12,19854425.00
2022-04-13,19689325.00
2022-04-14,20197325.00
2022-04-15,20159098.00
2022-04-18,19966439.00
2022-04-19,19959835.00
2022-04-20,20044925.00
2022-04-21,19828771.00
2022-04-22,19740125.00
2022-04-25,18914625.00
2022-04-26,19225521.00
2022-04-27,20018509.00
2022-04-28,20018509.00
2022-04-29,20018509.00
2022-05-05,20125397.00
2022-05-06,19579797.00
2022-05-09,19071397.00
2022-05-10,19247353.00
2022-05-11,19269797.00
2022-05-12,19203705.00
2022-05-13,19203705.00
2022-05-16,19203705.00
2022-05-17,19203705.00
2022-05-18,19203705.00
2022-05-19,19203705.00
2022-05-20,19203705.00
2022-05-23,19203705.00
2022-05-24,19203705.00
2022-05-25,19203705.00
2022-05-26,19203705.00
2022-05-27,19203705.00
2022-05-30,19203705.00
2022-05-31,19203705.00
2022-06-01,19203705.00
2022-06-02,19176255.00
2022-06-06,19200655.00
2022-06-07,19565435.00
2022-06-08,20147375.00
2022-06-09,19993655.00
2022-06-10,20574375.00
2022-06-13,20030255.00
2022-06-14,20213255.00
2022-06-15,20263275.00
2022-06-16,20286455.00
2022-06-17,21189255.00
2022-06-20,21079699.00
2022-06-21,21125083.00
2022-06-22,21006255.00
2022-06-23,21263675.00
2022-06-24,21896977.00
2022-06-27,21915765.00
2022-06-28,22226255.00
2022-06-29,22153055.00
2022-06-30,22600429.00
2022-07-01,22405839.00
2022-07-04,22271029.00
2022-07-05,22454151.00
2022-07-06,22075829.00
2022-07-07,21929429.00
2022-07-08,22039229.00
2022-07-11,21607349.00
2022-07-12,21422031.00
2022-07-13,21549887.00
2022-07-14,21549887.00
2022-07-15,21549887.00
2022-07-18,21549887.00
2022-07-19,21549887.00
2022-07-20,21549887.00
2022-07-21,21549887.00
2022-07-22,21549887.00
2022-07-25,21549887.00
2022-07-26,21549887.00
2022-07-27,21549887.00
2022-07-28,21549887.00
2022-07-29,21549887.00
2022-08-01,21549887.00
2022-08-02,21549887.00
2022-08-03,21549887.00
2022-08-04,21549887.00
2022-08-05,21549887.00
2022-08-08,21549887.00
2022-08-09,21549887.00
2022-08-10,21549887.00
2022-08-11,21549887.00
2022-08-12,21549887.00
2022-08-15,21549887.00
2022-08-16,21549887.00
2022-08-17,21549887.00
2022-08-18,21268637.00
2022-08-19,21262512.00
2022-08-22,21249637.00
2022-08-23,21249637.00
2022-08-24,21249637.00
2022-08-25,21249637.00
2022-08-26,21249637.00
2022-08-29,21249637.00
2022-08-30,21249637.00
2022-08-31,21249637.00
2022-09-01,21249637.00
2022-09-02,21249637.00
2022-09-05,21249637.00
2022-09-06,21249637.00
2022-09-07,21249637.00
2022-09-08,21249637.00
2022-09-09,21249637.00
2022-09-13,21249637.00
2022-09-14,21249637.00
2022-09-15,21249637.00
2022-09-16,21249637.00
2022-09-19,21249637.00
2022-09-20,21330409.00
2022-09-21,20949409.00
2022-09-22,20604096.00
2022-09-23,20604096.00
2022-09-26,20604096.00
2022-09-27,20604096.00
2022-09-28,20604096.00
2022-09-29,20604096.00
2022-09-30,20508326.00
2022-10-10,19453026.00
